Date;High price;Low price;Closing price;Turnover
2012-08-10;1082.5;1070.29;1079.52;6096994077
2012-08-13;1079.55;1071.53;1077.27;5499767299
2012-08-14;1083.39;1074.01;1079.46;5754327968
2012-08-15;1077.49;1072.86;1075.17;5806388964
2012-08-16;1078.34;1071.71;1078.04;5619221032
2012-08-17;1092.6;1080.92;1091.45;7645792848
2012-08-20;1093.74;1081.01;1084.06;5103773551
2012-08-21;1086.29;1079.85;1085.07;6495023913
2012-08-22;1077.09;1057.85;1061.8;7477518449
2012-08-23;1072.85;1051.01;1055.17;6237069490
2012-08-24;1059.12;1049.05;1058.58;7057771191
2012-08-27;1065.55;1055.92;1065.55;3905647116
2012-08-28;1059.68;1040.83;1040.83;7900983342
2012-08-29;1050.58;1040.39;1045.73;6347298250
2012-08-30;1044.23;1033.02;1038.38;6700045707
2012-08-31;1048.27;1034.24;1043.93;7438271549
2012-09-03;1052.75;1039.99;1049.52;4692301251
2012-09-04;1050.25;1032.53;1035.74;6637548665
2012-09-05;1040.74;1028.93;1038.13;8361715752
2012-09-06;1063.74;1038.41;1058.45;10485251168
2012-09-07;1074.83;1064.53;1070.87;11136276835
2012-09-10;1073.31;1066.89;1067.57;6078935310
2012-09-11;1076.64;1060.44;1076.57;6915347358
2012-09-12;1087.95;1073.46;1085.76;10706383973
2012-09-13;1086.71;1080.81;1086.3;7916597309
2012-09-14;1119.19;1102.04;1114.98;14827855272
2012-09-17;1112.65;1106.19;1108.53;8938693584
2012-09-18;1105.76;1096.63;1100.98;9545401388
2012-09-19;1108.53;1101.67;1106.43;7760559851
2012-09-20;1102.68;1095.42;1100.23;8487877357
2012-09-21;1106.41;1097.52;1099.89;9916899666
2012-09-24;1100.12;1092.07;1099.73;8262501442
2012-09-25;1106.07;1092.63;1105.73;10966912100
2012-09-26;1097.09;1085.49;1088.16;9071237569
2012-09-27;1091.35;1080.77;1083.62;10630255003
2012-09-28;1088.54;1072.24;1072.45;10549884812
2012-10-01;1086.64;1069.35;1085.14;7536406934
2012-10-02;1090.01;1078.1;1084.97;8424885444
2012-10-03;1084.2;1076.85;1080.24;7348127038
2012-10-04;1085.11;1076.04;1083.09;7704642717
2012-10-05;1098.72;1085.55;1093.54;8407404766
2012-10-08;1087.97;1078.37;1079.91;5890660637
2012-10-09;1084.17;1073.29;1073.66;6980886109
2012-10-10;1072.34;1059.46;1061.55;8311145299
2012-10-11;1069.02;1055.85;1065.34;7664015369
2012-10-12;1064.79;1056.69;1058.7;7210210737
2012-10-15;1068.07;1058;1063.71;7133609250
2012-10-16;1072.86;1062.72;1072.86;8457796394
2012-10-17;1076.16;1068.85;1075.5;10765932333
2012-10-18;1083.57;1072.49;1082.72;11917179221
2012-10-19;1081.39;1064.62;1064.64;9363605303
2012-10-22;1075.95;1061.89;1067.28;9091550590
2012-10-23;1068.52;1044.2;1048.6;10851611969
2012-10-24;1054.72;1034.55;1050.47;13546880391
2012-10-25;1062.34;1046.12;1057.74;9580764598
2012-10-26;1061.01;1048.17;1059.2;8315969244
2012-10-29;1059.51;1051.52;1055.57;5683661688
2012-10-30;1061.62;1054.73;1059.2;5637423120
2012-10-31;1065.7;1051.96;1052.11;8167282941
2012-11-01;1064.08;1047.28;1062.51;8742054722
2012-11-02;1069.91;1062.6;1069.91;4127665474
2012-11-05;1068.27;1062.18;1063.35;7336349994
2012-11-06;1073.88;1063.16;1072.48;8123292315
2012-11-07;1079.03;1056.4;1056.4;9538866030
2012-11-08;1064.37;1052.5;1055.52;7678285554
2012-11-09;1059.45;1043.64;1052.15;6817232116
2012-11-12;1057.49;1049.6;1052.3;4943093448
2012-11-13;1053.95;1040.13;1052.98;7275738523
2012-11-14;1056.87;1048.84;1052.22;8221652429
2012-11-15;1045.61;1037.56;1038.33;7580337788
2012-11-16;1043.01;1026.47;1027.04;7759066535
2012-11-19;1051.36;1034.7;1051.36;7307741412
2012-11-20;1055.22;1047.45;1053.91;7165922984
2012-11-21;1056.9;1048.16;1053.64;6364793247
2012-11-22;1062.19;1054.01;1060.98;6526598314
2012-11-23;1071.77;1058.31;1071.77;6240143635
2012-11-26;1074.21;1065.11;1068.98;6675689640
2012-11-27;1075.56;1068.24;1071.73;6753008239
2012-11-28;1069.97;1061.19;1069.39;6638157104
2012-11-29;1085.03;1074.22;1085.03;8044214057
2012-11-30;1090.94;1083.25;1085.85;9180683985
2012-12-03;1096.94;1086.84;1088.88;6434478935
2012-12-04;1090.06;1085.16;1088.6;5856403890
2012-12-05;1096.26;1090.41;1091.33;6826278294
2012-12-06;1102.71;1094.92;1098.03;7902943692
2012-12-07;1100.84;1094.66;1098.62;6573653261
2012-12-10;1107.03;1093.55;1105.95;8262568773
2012-12-11;1109.56;1101.99;1108.96;7816811163
2012-12-12;1109.98;1102.22;1103.35;7208943396
2012-12-13;1103.88;1092.12;1092.12;12459644803
2012-12-14;1099.07;1093.55;1098.08;7725912857
2012-12-17;1102.41;1094.8;1101.71;7541328517
2012-12-18;1108.75;1103.1;1107.48;9699295935
2012-12-19;1110.03;1103.95;1108.94;9229608567
2012-12-20;1109.2;1101.91;1108.07;7336610757
2012-12-21;1109.14;1097.98;1107.93;8934158302
2012-12-27;1114.05;1104.07;1110.91;6127209655
2012-12-28;1114;1104.69;1104.73;7067175076
2013-01-02;1129.96;1116.62;1129.96;7805855614
2013-01-03;1130.89;1126.1;1130.4;6090218161
2013-01-04;1136.77;1126.38;1136.77;6609913295
2013-01-07;1137.37;1130.13;1130.13;7778813073
2013-01-08;1133.28;1124.32;1125.39;7779880185
2013-01-09;1128.66;1118.98;1127.67;7908749911
2013-01-10;1131.27;1125.4;1126.87;10666523218
2013-01-11;1132.28;1126.66;1132.28;8884670122
2013-01-14;1138.07;1130.78;1132.84;7817484120
2013-01-15;1133.97;1125.39;1127.51;11286812586
2013-01-16;1130.65;1123.74;1130.62;7435926568
2013-01-17;1137.73;1129.44;1136.2;9410221435
2013-01-18;1141.17;1133.46;1135.02;7910545112
2013-01-21;1143.63;1135.01;1143.09;7680613641
2013-01-22;1142.96;1135.33;1139.15;8946618244
2013-01-23;1141.99;1136.75;1140.82;9032492768
2013-01-24;1146.93;1137.84;1146.93;10779232684
2013-01-25;1158.5;1144.71;1158.5;9238356363
2013-01-28;1162.49;1157.66;1160.25;9539287663
2013-01-29;1161.97;1155.74;1161.97;8603969124
2013-01-30;1173.38;1162.97;1173.38;15802347932
2013-01-31;1182.12;1168.25;1169.17;17311793923
2013-02-01;1178.87;1167.53;1176.11;13060699543
2013-02-04;1177.41;1160.48;1161.19;11626030945
2013-02-05;1175.54;1156.82;1175.54;11965493749
2013-02-06;1181.03;1168.67;1174.79;14462086756
2013-02-07;1177.06;1163.65;1165.71;10670488428
2013-02-08;1175.64;1165.52;1175.05;10207373457
2013-02-11;1176.28;1166.26;1171.01;8978090410
2013-02-12;1176.68;1166.37;1175.98;8098384393
2013-02-13;1186.02;1176.64;1185.46;9486472812
2013-02-14;1184.55;1176.98;1182.91;11380348456
2013-02-15;1187.52;1180.56;1183.43;9244967136
2013-02-18;1186.45;1181.09;1185.98;6548373703
2013-02-19;1193.8;1183.79;1193.77;9315262225
2013-02-20;1201.28;1191.68;1200.54;10934123205
2013-02-21;1195.14;1184.56;1188.95;9975605576
2013-02-22;1207.36;1191.26;1205.1;9710500017
2013-02-25;1212.32;1197.9;1199.44;9459687168
2013-02-26;1191.67;1180.76;1180.9;10448270293
2013-02-27;1194.13;1178.53;1194.07;7965258966
2013-02-28;1200;1192.52;1199.4;9262152865
2013-03-01;1203.76;1189.77;1199.21;8499119033
2013-03-04;1203.64;1190.37;1203.47;7590414094
2013-03-05;1219.22;1208.55;1217.41;10791005057
2013-03-06;1221;1208.1;1208.39;9333840437
2013-03-07;1213.33;1206.07;1208.09;9984751480
2013-03-08;1219.83;1211.4;1215.14;8894321157
2013-03-11;1218.28;1212.1;1218.08;6212394339
2013-03-12;1219.5;1208.3;1208.52;10821333923
2013-03-13;1211.47;1202.99;1210.89;8358510001
2013-03-14;1222.8;1214.88;1221.85;9102403946
2013-03-15;1218.99;1213.82;1217.35;13630344726
2013-03-18;1211.85;1194.83;1209.67;10167847648
2013-03-19;1210.19;1195.39;1195.98;15122960276
2013-03-20;1205.83;1198.05;1203.1;10722847159
2013-03-21;1198.48;1183.63;1187.72;11497486163
2013-03-22;1196.98;1179.75;1196.43;10652064240
2013-03-25;1206.78;1191.5;1195.58;10126959102
2013-03-26;1199.91;1192.35;1194.99;8971819902
2013-03-27;1200.2;1185.06;1194.49;8881305547
2013-03-28;1203.44;1192.75;1201.19;5508011130
2013-04-02;1211.25;1200.9;1210.08;9890690328
2013-04-03;1210.36;1201.01;1203.38;9325982516
2013-04-04;1201.46;1179.82;1183.01;11101903992
2013-04-05;1184.8;1162.07;1168.79;11215574691
2013-04-08;1177.83;1162.09;1164.85;7838709549
2013-04-09;1178.4;1169.38;1175.62;9168836394
2013-04-10;1194.67;1175.73;1193.66;11215994188
2013-04-11;1197.37;1190.44;1195.53;8508031494
2013-04-12;1192.4;1183.34;1185.33;9099142855
2013-04-15;1186.94;1168.57;1177.61;10031923856
2013-04-16;1177.2;1164.4;1167.48;10360262773
2013-04-17;1171.06;1146.52;1147.48;15025223313
2013-04-18;1155.47;1140.69;1146.65;11335931526
2013-04-19;1153.99;1143.46;1147.31;9646317512
2013-04-22;1158.29;1142.81;1143.3;11066371333
2013-04-23;1172.79;1143.83;1172.79;15913451594
2013-04-24;1176.91;1161.05;1176.91;13786343468
2013-04-25;1198.33;1174.66;1194.86;14708471043
2013-04-26;1196.55;1186.75;1194.66;13021450093
